"CASE_KEY","DELIVERY_COMPANY","PRODUCT_TYPE","FACTORY","ORDERED_QUANTITY","DELIVERED_QUANTITY","MIN_ORDER_TOLERANCE","MAX_ORDER_TOLERANCE","CUST_MARKET","CUST_ID","CUST_NAME","CUST_ADDR_CODE","DAYS_TO_DEL_DEADLINE","ORDER_TOLERANCE_MET","ORDER_DATE_MET","X_CEL_O2C_CASES.SAL_ORD_POS_QUAN","DELIVERED_QUANTITY_UNIT","WAREHOUSE_TYPE","DELIVERED_DATE","PROMISED_DATE","CUST_COUNTRY","ORDER_VALUE","UNIT_PRICE"
"15317791","UPS","Pallets","Aachen",63,63,0,0,"Retail","67555","Becker",1,0,1,1,63,"kg","Non-automated","2018-01-15 00:00:01","2018-01-15 00:00:01"," DE","452,76","7,19"
"15313391","UPS","Crates","Essen",2000,2170,-20,20,"Retail","93955","Ritter Adler GbR",1,0,0,1,2170,"kg","Non-automated","2018-02-13 00:00:01","2018-02-13 00:00:01"," DE","13345,5","6,15"
"15313091","FedEx","Crates","Aachen",2695,1812,-5,15,"Retail","87479","Albers",1,0,0,1,1812,"kg","Non-automated","2018-03-29 00:00:01","2018-03-29 00:00:01"," CA","19111,26","10,55"
"15319692","UPS","Crates","Aachen",807,807,0,20,"Retail","68955","Fritz",1,0,1,1,807,"kg","Non-automated","2018-03-20 00:00:01","2018-03-20 00:00:01"," DE","6341,53","7,86"
"15319992","UPS","Crates","Aachen",540,719,0,20,"Retail","68955","Fritz",1,1,0,0,719,"kg","Non-automated","2018-03-27 00:00:01","2018-03-28 00:00:01"," DE","5650,62","7,86"
"15310191","UPS","Pallets","Aachen",94,94,0,0,"Retail","67555","Becker",1,-2,1,1,94,"kg","Non-automated","2018-01-17 00:00:01","2018-01-15 00:00:01"," DE","679,14","7,22"
"15310991","UPS","Crates","Essen",1000,1025,-20,20,"Retail","93955","Ritter Adler GbR",3,0,0,1,1025,"kg","Non-automated","2018-02-13 00:00:01","2018-02-13 00:00:01"," DE","6068,0","5,92"
"15310091","UPS","Pallets","Aachen",284,285,0,0,"Retail","37789","Krauß AG",1,0,0,1,285,"kg","Non-automated","2018-01-19 00:00:01","2018-01-19 00:00:01"," DE","4125,0","14,47"
"15318591","UPS","Pallets","Essen",114,114,0,0,"Retail","35955","Pietsch AG",1,0,1,1,114,"kg","Non-automated","2018-02-08 00:00:01","2018-02-08 00:00:01"," DE","700,4","6,14"
"15318592","UPS","Pallets","Essen",304,304,0,0,"Retail","35955","Pietsch AG",1,0,1,1,304,"kg","Non-automated","2018-02-08 00:00:01","2018-02-08 00:00:01"," DE","1731,4","5,7"
"15318593","UPS","Pallets","Essen",130,130,0,0,"Retail","35955","Pietsch AG",1,0,1,1,130,"kg","Non-automated","2018-02-08 00:00:01","2018-02-08 00:00:01"," DE","799,4","6,15"
"15318595","UPS","Pallets","Crefeld",26,26,0,0,"Retail","35955","Pietsch AG",1,-3,1,1,26,"kg","Non-automated","2018-02-08 00:00:01","2018-02-05 00:00:01"," DE","238,2","9,16"
"15318191","UPS","Pallets","Essen",222,222,0,0,"Retail","67555","Becker",1,0,1,1,222,"kg","Non-automated","2018-01-22 00:00:01","2018-01-22 00:00:01"," DE","1685,64","7,59"
"15318691","UPS","Pallets","Essen",107,107,0,0,"Retail","67555","Becker",1,0,1,1,107,"kg","Non-automated","2018-01-22 00:00:01","2018-01-22 00:00:01"," DE","1074,7","10,04"
"15318791","UPS","Pallets","Aachen",1415,1414,0,0,"Retail","67555","Becker",1,-2,0,1,1414,"kg","Non-automated","2018-01-17 00:00:01","2018-01-15 00:00:01"," DE","11663,2","8,25"
"15318091","UPS","Pallets","Essen",479,480,0,0,"Retail","67555","Becker",1,0,0,1,480,"kg","Non-automated","2018-01-17 00:00:01","2018-01-17 00:00:01"," DE","4636,5","9,66"
"15318891","UPS","Pallets","Aachen",106,106,0,0,"Retail","67555","Becker",1,-2,1,1,106,"kg","Non-automated","2018-01-17 00:00:01","2018-01-15 00:00:01"," DE","1593,96","15,04"
"15318291","UPS","Pallets","Aachen",53,53,0,0,"Retail","67555","Becker",1,-2,1,1,53,"kg","Non-automated","2018-01-17 00:00:01","2018-01-15 00:00:01"," DE","561,5","10,59"
"15312692","UPS","Pallets","Crefeld",14,14,0,0,"Retail","22069","Pietsch",1,-1,1,1,14,"kg","Non-automated","2018-01-24 00:00:01","2018-01-23 00:00:01"," DE","210,64","15,05"
"15312792","FedEx","Crates","Aachen",1333,1333,-10,10,"Construction","6155","Meißner GmbH & Co. KGaA",1,-1,1,1,1333,"kg","Non-automated","2018-03-07 00:00:01","2018-03-06 00:00:01"," CH","7278,18","5,46"
"153123913","DHL","Crates","Essen",984,1135,-10,25,"Retail","13669","Klemm Herold AG",3,14,0,0,1135,"kg","Non-automated","2018-02-02 00:00:01","2018-02-16 00:00:01"," AU","7218,6","6,36"
"15312394","DHL","Crates","Essen",12000,13175,-5,5,"Retail","13669","Klemm Herold AG",3,0,0,1,13175,"kg","Non-automated","2018-02-16 00:00:01","2018-02-16 00:00:01"," AU","60868,5","4,62"
"15312396","DHL","Crates","Essen",25000,26400,-5,5,"Retail","13669","Klemm Herold AG",3,7,0,0,1870,"kg","Non-automated","2018-02-09 00:00:01","2018-02-16 00:00:01"," AU","11145,2","5,96"
"15312397","DHL","Crates","Essen",6000,7140,-5,10,"Retail","13669","Klemm Herold AG",3,14,0,0,7140,"kg","Non-automated","2018-02-02 00:00:01","2018-02-16 00:00:01"," AU","42697,2","5,98"
"15312398","DHL","Crates","Essen",7500,8555,-5,10,"Retail","13669","Klemm Herold AG",3,0,0,1,8555,"kg","Non-automated","2018-02-16 00:00:01","2018-02-16 00:00:01"," AU","50902,25","5,95"
"15312399","DHL","Crates","Essen",5600,6255,-5,10,"Retail","13669","Klemm Herold AG",3,14,0,0,6255,"kg","Non-automated","2018-02-02 00:00:01","2018-02-16 00:00:01"," AU","37154,7","5,94"
"15312991","UPS","Crates","Aachen",1600,1707,-20,20,"Retail","13255","Hoffmann",7,0,0,1,1707,"kg","Non-automated","2018-03-15 00:00:01","2018-03-15 00:00:01"," IT","12546,45","7,35"
"15312291","UPS","Pallets","Essen",64,64,0,0,"Retail","67555","Becker",1,0,1,1,64,"kg","Non-automated","2018-01-17 00:00:01","2018-01-17 00:00:01"," DE","627,9","9,81"
"15314191","UPS","Pallets","Aachen",53,53,0,0,"Retail","67555","Becker",1,-2,1,1,53,"kg","Non-automated","2018-01-17 00:00:01","2018-01-15 00:00:01"," DE","561,5","10,59"
"15314691","UPS","Pallets","Aachen",59,59,0,0,"Retail","67555","Becker",1,-2,1,1,59,"kg","Non-automated","2018-01-17 00:00:01","2018-01-15 00:00:01"," DE","620,68","10,52"
"15314791","UPS","Pallets","Aachen",36,36,0,0,"Retail","67555","Becker",1,-2,1,1,36,"kg","Non-automated","2018-01-17 00:00:01","2018-01-15 00:00:01"," DE","258,72","7,19"
"15314092","UPS","Pallets","Aachen",55,55,0,0,"Retail","69555","Wiegand",2,0,1,1,55,"kg","Non-automated","2018-01-23 00:00:01","2018-01-23 00:00:01"," DE","520,23","9,46"
"15365691","UPS","Crates","Aachen",5106,5276,-20,20,"Retail","96405","Voß GmbH",4,-1,0,1,5276,"kg","Non-automated","2018-03-01 00:00:01","2018-02-28 00:00:01"," IT","31814,28","6,03"
"15365991","UPS","Pallets","Crefeld",436,437,0,0,"Retail","38955","Adam KG",5,0,0,1,437,"kg","Non-automated","2018-02-07 00:00:01","2018-02-07 00:00:01"," SE","6541,0","14,97"
"15365992","UPS","Pallets","Crefeld",436,438,0,0,"Retail","38955","Adam KG",5,0,0,1,438,"kg","Non-automated","2018-02-07 00:00:01","2018-02-07 00:00:01"," SE","6541,0","14,93"
"15365891","UPS","Pallets","Aachen",120,120,0,0,"Retail","67555","Becker",1,0,1,1,120,"kg","Non-automated","2018-01-22 00:00:01","2018-01-22 00:00:01"," DE","1069,7","8,91"
"15365291","UPS","Pallets","Essen",149,149,0,0,"Retail","67555","Becker",1,0,1,1,149,"kg","Non-automated","2018-01-22 00:00:01","2018-01-22 00:00:01"," DE","1127,98","7,57"
"15361691","UPS","Pallets","Aachen",906,906,0,0,"Retail","67555","Becker",1,0,1,1,906,"kg","Non-automated","2018-01-22 00:00:01","2018-01-22 00:00:01"," DE","7464,24","8,24"
"15361391","UPS","Pallets","Essen",192,192,0,0,"Retail","67555","Becker",1,0,1,1,192,"kg","Non-automated","2018-01-22 00:00:01","2018-01-22 00:00:01"," DE","1457,6","7,59"
"15361891","UPS","Pallets","Essen",71,71,0,0,"Retail","67555","Becker",1,0,1,1,71,"kg","Non-automated","2018-01-22 00:00:01","2018-01-22 00:00:01"," DE","718,06","10,11"
"15366391","UPS","Pallets","Aachen",704,702,0,0,"Retail","67555","Becker",1,-2,0,1,351,"kg","Non-automated","2018-01-31 00:00:01","2018-01-29 00:00:01"," DE","3002,16","8,55"
"15366891","UPS","Pallets","Aachen",320,320,0,0,"Retail","67555","Becker",1,-2,1,1,160,"kg","Non-automated","2018-01-31 00:00:01","2018-01-29 00:00:01"," DE","1366,47","8,54"
"15367891","UPS","Pallets","Aachen",46,46,0,0,"Retail","67555","Becker",1,-2,1,1,23,"kg","Non-automated","2018-01-31 00:00:01","2018-01-29 00:00:01"," DE","288,41","12,54"
"15367291","UPS","Pallets","Aachen",46,46,0,0,"Retail","67555","Becker",1,-2,1,1,23,"kg","Non-automated","2018-01-31 00:00:01","2018-01-29 00:00:01"," DE","288,41","12,54"
"15367491","UPS","Pallets","Aachen",46,46,0,0,"Retail","67555","Becker",1,-2,1,1,23,"kg","Non-automated","2018-01-31 00:00:01","2018-01-29 00:00:01"," DE","288,41","12,54"
"15363991","UPS","Pallets","Aachen",293,293,0,0,"Retail","67555","Becker",1,0,1,1,293,"kg","Non-automated","2018-01-22 00:00:01","2018-01-22 00:00:01"," DE","2829,2","9,66"
"15369691","UPS","Pallets","Aachen",103,103,0,0,"Retail","67555","Becker",1,0,1,1,103,"kg","Non-automated","2018-01-22 00:00:01","2018-01-22 00:00:01"," DE","743,82","7,22"
"15369491","UPS","Pallets","Aachen",108,108,0,0,"Retail","67555","Becker",1,0,1,1,108,"kg","Non-automated","2018-02-05 00:00:01","2018-02-05 00:00:01"," DE","776,16","7,19"
"15360391","UPS","Pallets","Aachen",164,164,0,0,"Retail","67555","Becker",1,0,1,1,164,"kg","Non-automated","2018-01-24 00:00:01","2018-01-24 00:00:01"," DE","1183,2","7,21"
"15360991","UPS","Pallets","Aachen",180,180,0,0,"Retail","67555","Becker",1,0,1,1,180,"kg","Non-automated","2018-01-29 00:00:01","2018-01-29 00:00:01"," DE","1301,52","7,23"
"15360091","UPS","Pallets","Aachen",180,180,0,0,"Retail","67555","Becker",1,0,1,1,180,"kg","Non-automated","2018-01-29 00:00:01","2018-01-29 00:00:01"," DE","1301,52","7,23"
"15368891","UPS","Pallets","Aachen",152,152,0,0,"Retail","67555","Becker",1,0,1,1,152,"kg","Non-automated","2018-01-24 00:00:01","2018-01-24 00:00:01"," DE","2148,3","14,13"
"15362191","UPS","Pallets","Aachen",49,49,0,0,"Retail","67555","Becker",1,0,1,1,49,"kg","Non-automated","2018-01-22 00:00:01","2018-01-22 00:00:01"," DE","385,5","7,87"
"15362691","UPS","Pallets","Aachen",176,176,0,0,"Retail","67555","Becker",1,0,1,1,176,"kg","Non-automated","2018-01-29 00:00:01","2018-01-29 00:00:01"," DE","1862,04","10,58"
"15362791","UPS","Pallets","Aachen",176,176,0,0,"Retail","67555","Becker",1,0,1,1,176,"kg","Non-automated","2018-01-29 00:00:01","2018-01-29 00:00:01"," DE","1862,04","10,58"
"15362991","UPS","Pallets","Aachen",880,880,0,0,"Retail","67555","Becker",1,-1,1,1,880,"kg","Non-automated","2018-01-31 00:00:01","2018-01-30 00:00:01"," DE","9310,2","10,58"
"15362091","UPS","Pallets","Aachen",59,59,0,0,"Retail","67555","Becker",1,-1,1,1,59,"kg","Non-automated","2018-01-31 00:00:01","2018-01-30 00:00:01"," DE","620,68","10,52"
"15362891","UPS","Pallets","Aachen",988,988,0,0,"Retail","67555","Becker",1,0,1,1,988,"kg","Non-automated","2018-01-24 00:00:01","2018-01-24 00:00:01"," DE","12812,94","12,97"
"15364591","UPS","Pallets","Aachen",59,59,0,0,"Retail","67555","Becker",1,0,1,1,59,"kg","Non-automated","2018-01-29 00:00:01","2018-01-29 00:00:01"," DE","881,02","14,93"
"15364191","UPS","Pallets","Aachen",59,59,0,0,"Retail","67555","Becker",1,0,1,1,59,"kg","Non-automated","2018-01-29 00:00:01","2018-01-29 00:00:01"," DE","881,02","14,93"
"15364691","UPS","Pallets","Aachen",357,357,0,0,"Retail","67555","Becker",1,0,1,1,357,"kg","Non-automated","2018-01-24 00:00:01","2018-01-24 00:00:01"," DE","2258,36","6,33"
"15364791","UPS","Pallets","Essen",551,551,0,0,"Retail","67555","Becker",1,0,1,1,551,"kg","Non-automated","2018-01-24 00:00:01","2018-01-24 00:00:01"," DE","5296,2","9,61"
"15364391","UPS","Pallets","Essen",424,424,0,0,"Retail","67555","Becker",1,0,1,1,424,"kg","Non-automated","2018-01-24 00:00:01","2018-01-24 00:00:01"," DE","4074,0","9,61"
"15364491","UPS","Crates","Aachen",2000,1676,-20,20,"Retail","82555","Eberhardt",1,2,0,0,1676,"kg","Non-automated","2018-02-06 00:00:01","2018-02-08 00:00:01"," DE","9988,96","5,96"
"15375191","UPS","Crates","Aachen",2080,2234,-20,20,"Retail","67655","Voigt",3,-2,0,1,2234,"kg","Non-automated","2018-01-31 00:00:01","2018-01-29 00:00:01"," DE","14699,72","6,58"
"15375391","UPS","Crates","Aachen",5018,5018,-20,20,"Retail","91595","Jürgens",1,0,1,1,5018,"kg","Non-automated","2018-02-06 00:00:01","2018-02-06 00:00:01"," DE","35075,82","6,99"
"15375393","UPS","Crates","Aachen",5351,5351,-20,20,"Retail","91595","Jürgens",1,0,1,1,5351,"kg","Non-automated","2018-02-06 00:00:01","2018-02-06 00:00:01"," DE","38313,16","7,16"
"15375991","UPS","Crates","Aachen",4000,4296,-20,20,"Retail","91595","Jürgens",1,0,0,1,4296,"kg","Non-automated","2018-02-08 00:00:01","2018-02-08 00:00:01"," DE","24358,32","5,67"
"15375091","UPS","Crates","Aachen",2000,2074,-20,20,"Retail","91595","Jürgens",1,0,0,1,2074,"kg","Non-automated","2018-03-20 00:00:01","2018-03-20 00:00:01"," DE","13584,7","6,55"
"15371692","UPS","Pallets","Aachen",627,627,0,0,"Retail","35755","Graf KG",1,0,1,1,627,"kg","Non-automated","2018-02-13 00:00:01","2018-02-13 00:00:01"," DE","4184,04","6,67"
"15371792","UPS","Pallets","Aachen",112,112,0,0,"Retail","35755","Graf KG",1,1,1,0,112,"kg","Non-automated","2018-02-22 00:00:01","2018-02-23 00:00:01"," DE","747,15","6,67"
"15371391","UPS","Pallets","Aachen",5152,5152,0,0,"Retail","35755","Graf KG",1,1,1,0,3005,"kg","Non-automated","2018-02-22 00:00:01","2018-02-23 00:00:01"," DE","20052,48","6,67"
"15371991","FedEx","Crates","Aachen",9072,9203,-5,10,"Construction","39695","Hein",4,17,0,0,8242,"kg","Non-automated","2018-03-30 00:00:01","2018-04-16 00:00:01"," CA","61676,265","8,93"
"15371891","DHL","Crates","Essen",2000,1860,-5,10,"Retail","46309","Wenzel AG & Co. KG",5,0,0,1,1860,"kg","Non-automated","2018-03-20 00:00:01","2018-03-20 00:00:01"," CZ","12183,0","6,55"
"15376791","UPS","Pallets","Essen",483,483,-10,25,"Retail","36555","Steinbach",1,-4,1,1,483,"kg","Non-automated","2018-02-06 00:00:01","2018-02-02 00:00:01"," DE","4022,72","8,33"
"15376991","UPS","Pallets","Essen",785,784,-5,15,"Retail","36555","Steinbach",1,0,1,1,784,"kg","Non-automated","2018-02-27 00:00:01","2018-02-27 00:00:01"," DE","4170,11","5,32"
"15376992","UPS","Pallets","Essen",785,784,-5,15,"Retail","36555","Steinbach",1,0,1,1,784,"kg","Non-automated","2018-02-13 00:00:01","2018-02-13 00:00:01"," DE","4170,11","5,32"
"15376891","UPS","Pallets","Aachen",120,120,0,0,"Retail","67555","Becker",1,0,1,1,120,"kg","Non-automated","2018-01-15 00:00:01","2018-01-15 00:00:01"," DE","1069,7","8,91"
"15376291","UPS","Crates","Essen",2100,2250,-20,20,"Retail","69555","Wiegand",2,-1,0,1,2250,"kg","Non-automated","2018-02-15 00:00:01","2018-02-14 00:00:01"," DE","12015,0","5,34"
"15377093","UPS","Pallets","Crefeld",230,230,0,0,"Retail","35955","Pietsch AG",1,2,1,0,230,"kg","Non-automated","2018-02-27 00:00:01","2018-03-01 00:00:01"," DE","1918,82","8,34"
"15377894","UPS","Pallets","Essen",588,588,0,0,"Retail","35955","Pietsch AG",1,-2,1,1,588,"kg","Non-automated","2018-03-01 00:00:01","2018-02-27 00:00:01"," DE","2436,2","4,14"
"15373691","UPS","Pallets","Aachen",484,484,0,0,"Retail","36555","Steinbach",1,-1,1,1,484,"kg","Non-automated","2018-01-30 00:00:01","2018-01-29 00:00:01"," DE","5899,41","12,19"
"15379591","UPS","Crates","Aachen",6000,5892,0,15,"Construction","80255","Noll",20,0,0,1,5892,"kg","Non-automated","2018-04-20 00:00:01","2018-04-20 00:00:01"," JP","36059,04","6,12"
"15379791","UPS","Pallets","Crefeld",29,29,0,0,"Retail","38955","Adam KG",1,-2,1,1,29,"kg","Non-automated","2018-01-31 00:00:01","2018-01-29 00:00:01"," SE","441,7","15,23"
"15379792","UPS","Pallets","Crefeld",29,29,0,0,"Retail","38955","Adam KG",1,-2,1,1,29,"kg","Non-automated","2018-01-31 00:00:01","2018-01-29 00:00:01"," SE","441,7","15,23"
"15379893","UPS","Pallets","Essen",235,235,0,0,"Retail","36555","Steinbach",1,0,1,1,235,"kg","Non-automated","2018-03-20 00:00:01","2018-03-20 00:00:01"," DE","2734,92","11,64"
"15379291","DHL","Crates","Aachen",3600,3816,-5,15,"Construction","26906","Thiel Bergmann e.G.",1,0,0,1,3816,"kg","Non-automated","2018-03-13 00:00:01","2018-03-13 00:00:01"," NO","28200,24","7,39"
"15370692","UPS","Crates","Aachen",1000,1059,-20,20,"Retail","82555","Eberhardt",1,-1,0,1,1059,"kg","Non-automated","2018-03-06 00:00:01","2018-03-05 00:00:01"," DE","6226,92","5,88"
"15370694","UPS","Crates","Aachen",2000,1671,-20,20,"Retail","82555","Eberhardt",1,-1,0,1,1671,"kg","Non-automated","2018-03-06 00:00:01","2018-03-05 00:00:01"," DE","9959,16","5,96"
"15370696","UPS","Crates","Aachen",2000,2322,-20,20,"Retail","82555","Eberhardt",1,-1,0,1,2322,"kg","Non-automated","2018-03-06 00:00:01","2018-03-05 00:00:01"," DE","14210,64","6,12"
"15370792","FedEx","Crates","Aachen",761,562,-5,15,"Retail","87479","Albers",1,-35,0,1,562,"kg","Non-automated","2018-05-04 00:00:01","2018-03-30 00:00:01"," CA","5823,9","10,36"
"15370991","UPS","Crates","Aachen",2000,1880,-20,20,"Retail","91595","Jürgens",1,-6,0,1,1880,"kg","Non-automated","2018-02-13 00:00:01","2018-02-07 00:00:01"," DE","10246,0","5,45"
"15370092","UPS","Crates","Essen",2000,2065,-5,15,"Construction","27995","Rausch",1,0,0,1,2065,"kg","Non-automated","2018-02-27 00:00:01","2018-02-27 00:00:01"," DE","9003,4","4,36"
"15370891","UPS","Pallets","Essen",1143,1361,0,0,"Retail","36555","Steinbach",1,0,0,1,1361,"kg","Non-automated","2018-02-27 00:00:01","2018-02-27 00:00:01"," DE","7934,96","5,83"
"15370291","UPS","Pallets","Essen",491,490,0,0,"Retail","36555","Steinbach",1,0,0,1,490,"kg","Non-automated","2018-03-20 00:00:01","2018-03-20 00:00:01"," DE","5928,64","12,1"
"15378791","UPS","Crates","Aachen",2800,2884,-5,15,"Construction","84195","Kühn GmbH",2,0,0,1,2884,"kg","Non-automated","2018-02-06 00:00:01","2018-02-06 00:00:01"," DE","26878,88","9,32"
"15378891","UPS","Pallets","Essen",7804,7905,-5,10,"Transportation","27339","Kuhn",2,-3,0,1,7905,"kg","Non-automated","2018-03-02 00:00:01","2018-02-27 00:00:01"," SE","35730,6","4,52"
"15378291","UPS","Crates","Essen",1825,1960,-20,20,"Retail","04555","Vogel Horn OHG mbH",6,0,0,1,1960,"kg","Non-automated","2018-04-18 00:00:01","2018-04-18 00:00:01"," FR","7428,4","3,79"
"15372691","UPS","Crates","Aachen",2047,2118,-20,20,"Retail","67655","Voigt",3,0,0,1,2118,"kg","Non-automated","2018-02-14 00:00:01","2018-02-14 00:00:01"," DE","24484,08","11,56"
"15372692","UPS","Crates","Aachen",5051,5530,-20,20,"Retail","67655","Voigt",3,0,0,1,5530,"kg","Non-automated","2018-02-14 00:00:01","2018-02-14 00:00:01"," DE","34562,5","6,25"
"15372792","UPS","Crates","Aachen",1400,1595,-10,10,"Retail","17555","Kirchner",2,0,0,1,1595,"kg","Non-automated","2018-01-30 00:00:01","2018-01-30 00:00:01"," DE","8788,45","5,51"
"15372991","UPS","Crates","Essen",1209,1260,-20,20,"Retail","77689","Hohmann GmbH",1,0,0,1,1260,"kg","Non-automated","2018-02-06 00:00:01","2018-02-06 00:00:01"," FR","6111,0","4,85"
"15372091","UPS","Pallets","Crefeld",670,671,0,0,"Retail","38955","Adam KG",5,0,0,1,671,"kg","Non-automated","2018-02-28 00:00:01","2018-02-28 00:00:01"," SE","10116,72","15,08"
"15372092","UPS","Pallets","Crefeld",670,670,0,0,"Retail","38955","Adam KG",5,12,1,0,670,"kg","Non-automated","2018-02-21 00:00:01","2018-03-05 00:00:01"," SE","10116,72","15,1"
"15374691","UPS","Crates","Aachen",2000,2142,-20,20,"Retail","04869","Hempel AG & Co. KG",1,0,0,1,2142,"kg","Non-automated","2018-04-09 00:00:01","2018-04-09 00:00:01"," DE","14115,78","6,59"
